,sub_id,age,sex,normal / corrected sight,handedness,block,trial,reaction_time,E_amount_answer,E_counter,is_corr
0,03,28,male,yes,right,no timer,1,32.56804299999999,10,10,1
1,03,28,male,yes,right,no timer,2,39.866823458333386,13,13,1
2,03,28,male,yes,right,no timer,3,29.809964666666644,9,9,1
3,03,28,male,yes,right,no timer,4,28.692801416666725,8,8,1
4,03,28,male,yes,right,no timer,5,32.02361524999992,9,9,1
5,03,28,male,yes,right,no timer,6,28.0341735833332,11,12,0
6,03,28,male,yes,right,no timer,7,NA,10,12,0
7,03,28,male,yes,right,clock timer,1,22.15178258333333,10,11,0
8,03,28,male,yes,right,clock timer,2,22.54003429166653,9,9,1
9,03,28,male,yes,right,clock timer,3,23.18932604166673,8,9,0
10,03,28,male,yes,right,clock timer,4,27.807421999999974,11,12,0
11,03,28,male,yes,right,clock timer,5,35.59422474999997,10,10,1
12,03,28,male,yes,right,clock timer,6,26.21029837499998,8,8,1
13,03,28,male,yes,right,clock timer,7,29.913819791666697,10,10,1
14,03,28,male,yes,right,clock timer,8,NA,6,9,0
15,03,28,male,yes,right,countdown timer,1,29.504565458333445,10,12,0
16,03,28,male,yes,right,countdown timer,2,26.19842970833338,13,13,1
17,03,28,male,yes,right,countdown timer,3,27.78530729166664,7,8,0
18,03,28,male,yes,right,countdown timer,4,28.907838500000025,8,8,1
19,03,28,male,yes,right,countdown timer,5,26.36325741666633,10,10,1
20,03,28,male,yes,right,countdown timer,6,27.42724929166684,9,10,0
21,03,28,male,yes,right,countdown timer,7,27.042879041666538,8,8,1
22,03,28,male,yes,right,countdown timer,8,NA,8,9,0
