,sub_id,age,sex,normal / corrected sight,handedness,block,trial,reaction_time,max_time,E_amount_answer,E_counter,is_corr,answer_in_time
0,15,22,female,yes,right,high time pressure,1,15.507898999999952,18.089879091012534,11,11,1,1
1,15,22,female,yes,right,high time pressure,2,15.893522791666783,18.089879091012534,10,10,1,1
2,15,22,female,yes,right,high time pressure,3,15.740594625000085,18.089879091012534,10,10,1,1
3,15,22,female,yes,right,high time pressure,4,17.164125041666694,18.089879091012534,13,13,1,1
4,15,22,female,yes,right,high time pressure,5,15.627824874999988,18.089879091012534,9,10,0,1
5,15,22,female,yes,right,high time pressure,6,18.693628958333193,18.089879091012534,9,9,1,0
6,15,22,female,yes,right,high time pressure,7,16.758181041666603,18.089879091012534,12,12,1,1
7,15,22,female,yes,right,high time pressure,8,17.564004875000137,18.089879091012534,11,11,1,1
8,15,22,female,yes,right,high time pressure,9,16.675441625000076,18.089879091012534,9,9,1,1
9,15,22,female,yes,right,high time pressure,10,15.43696675000001,18.089879091012534,9,9,1,1
10,15,22,female,yes,right,high time pressure,11,18.089879091012534,18.089879091012534,10,11,0,0
11,15,22,female,yes,right,high time pressure,12,18.296640125000067,18.089879091012534,11,11,1,0
12,15,22,female,yes,right,high time pressure,13,18.37115345833331,18.089879091012534,10,11,0,0
13,15,22,female,yes,right,low time pressure,1,15.642679541666666,27.158169550962747,13,13,1,1
14,15,22,female,yes,right,low time pressure,2,18.79561091666642,27.158169550962747,13,13,1,1
15,15,22,female,yes,right,low time pressure,3,18.252173041666765,27.158169550962747,9,9,1,1
16,15,22,female,yes,right,low time pressure,4,19.144142541666497,27.158169550962747,8,8,1,1
17,15,22,female,yes,right,low time pressure,5,18.180265708333536,27.158169550962747,12,12,1,1
18,15,22,female,yes,right,low time pressure,6,18.618588791666753,27.158169550962747,9,9,1,1
19,15,22,female,yes,right,low time pressure,7,18.169889083333146,27.158169550962747,13,13,1,1
20,15,22,female,yes,right,low time pressure,8,19.05481620833325,27.158169550962747,12,12,1,1
21,15,22,female,yes,right,low time pressure,9,19.629482625000037,27.158169550962747,10,10,1,1
22,15,22,female,yes,right,low time pressure,10,21.414513250000027,27.158169550962747,13,13,1,1
23,15,22,female,yes,right,low time pressure,11,18.77817820833343,27.158169550962747,12,12,1,1
24,15,22,female,yes,right,low time pressure,12,16.095519666666632,27.158169550962747,8,9,0,1
25,15,22,female,yes,right,medium time pressure,1,17.22855920833331,22.62402432098764,8,8,1,1
26,15,22,female,yes,right,medium time pressure,2,15.012688541666876,22.62402432098764,8,9,0,1
27,15,22,female,yes,right,medium time pressure,3,20.024725750000016,22.62402432098764,13,12,0,1
28,15,22,female,yes,right,medium time pressure,4,19.95822887500003,22.62402432098764,12,13,0,1
29,15,22,female,yes,right,medium time pressure,5,21.114043583333114,22.62402432098764,11,10,0,1
30,15,22,female,yes,right,medium time pressure,6,20.08111249999979,22.62402432098764,8,9,0,1
31,15,22,female,yes,right,medium time pressure,7,16.223123000000214,22.62402432098764,8,8,1,1
32,15,22,female,yes,right,medium time pressure,8,19.45776045833327,22.62402432098764,10,10,1,1
33,15,22,female,yes,right,medium time pressure,9,20.988023916666407,22.62402432098764,13,13,1,1
34,15,22,female,yes,right,medium time pressure,10,21.529215250000107,22.62402432098764,12,13,0,1
35,15,22,female,yes,right,medium time pressure,11,21.53112029166641,22.62402432098764,11,11,1,1
36,15,22,female,yes,right,medium time pressure,12,21.251251458333627,22.62402432098764,11,11,1,1
