,sub_id,age,sex,normal / corrected sight,handedness,block,trial,reaction_time,E_amount_answer,E_counter,is_corr
0,18,23,male,yes,right,no timer,1,26.147195375000024,9,9,1
1,18,23,male,yes,right,no timer,2,29.14180383333337,7,8,0
2,18,23,male,yes,right,no timer,3,29.89873799999998,8,8,1
3,18,23,male,yes,right,no timer,4,30.558320458333355,8,8,1
4,18,23,male,yes,right,no timer,5,28.682328624999855,12,12,1
5,18,23,male,yes,right,no timer,6,28.1620219583333,13,13,1
6,18,23,male,yes,right,no timer,7,32.47683520833334,9,9,1
7,18,23,male,yes,right,no timer,8,NA,NA,9,NA
8,18,23,male,yes,right,clock timer,1,26.13348554166646,9,9,1
9,18,23,male,yes,right,clock timer,2,27.555880000000116,11,11,1
10,18,23,male,yes,right,clock timer,3,27.53823995833318,8,8,1
11,18,23,male,yes,right,clock timer,4,27.329994291666708,13,13,1
12,18,23,male,yes,right,clock timer,5,22.96740670833333,7,8,0
13,18,23,male,yes,right,clock timer,6,26.10381508333353,10,10,1
14,18,23,male,yes,right,clock timer,7,22.998440416666654,11,11,1
15,18,23,male,yes,right,clock timer,8,26.68097779166692,9,9,1
16,18,23,male,yes,right,clock timer,9,NA,NA,9,NA
17,18,23,male,yes,right,countdown timer,1,24.133006583333326,9,10,0
18,18,23,male,yes,right,countdown timer,2,23.607257583333194,8,8,1
19,18,23,male,yes,right,countdown timer,3,21.167550958333095,8,8,1
20,18,23,male,yes,right,countdown timer,4,22.40347483333312,8,8,1
21,18,23,male,yes,right,countdown timer,5,22.552049833333513,10,10,1
22,18,23,male,yes,right,countdown timer,6,21.743150000000014,10,10,1
23,18,23,male,yes,right,countdown timer,7,21.997755583333173,10,12,0
24,18,23,male,yes,right,countdown timer,8,18.688723250000066,7,9,0
25,18,23,male,yes,right,countdown timer,9,20.423304833333077,12,13,0
26,18,23,male,yes,right,countdown timer,10,20.544367333333412,9,10,0
