,sub_id,age,sex,normal / corrected sight,handedness,block,trial,reaction_time,E_amount_answer,E_counter,is_corr
0,09,55,female,yes,right,no timer,1,23.218125666666538,11,11,1
1,09,55,female,yes,right,no timer,2,23.446242083333345,8,9,0
2,09,55,female,yes,right,no timer,3,25.366364333333422,13,13,1
3,09,55,female,yes,right,no timer,4,27.868509708333363,11,11,1
4,09,55,female,yes,right,no timer,5,25.22626429166678,11,11,1
5,09,55,female,yes,right,no timer,6,25.17764716666659,10,10,1
6,09,55,female,yes,right,no timer,7,27.483224625000048,11,11,1
7,09,55,female,yes,right,no timer,8,29.05097433333333,9,9,1
8,09,55,female,yes,right,no timer,9,NA,NA,8,NA
9,09,55,female,yes,right,clock timer,1,19.327438958333346,7,8,0
10,09,55,female,yes,right,clock timer,2,22.053167874999986,10,11,0
11,09,55,female,yes,right,clock timer,3,21.033497583333315,11,11,1
12,09,55,female,yes,right,clock timer,4,22.34350366666672,8,8,1
13,09,55,female,yes,right,clock timer,5,24.777074999999968,12,12,1
14,09,55,female,yes,right,clock timer,6,22.55414520833324,7,8,0
15,09,55,female,yes,right,clock timer,7,24.775200583333344,13,13,1
16,09,55,female,yes,right,clock timer,8,27.26416995833324,12,12,1
17,09,55,female,yes,right,clock timer,9,23.693973708333488,12,12,1
18,09,55,female,yes,right,countdown timer,1,22.369767708333484,11,12,0
19,09,55,female,yes,right,countdown timer,2,26.31943533333356,11,13,0
20,09,55,female,yes,right,countdown timer,3,26.42731024999989,9,9,1
21,09,55,female,yes,right,countdown timer,4,26.965690249999852,10,10,1
22,09,55,female,yes,right,countdown timer,5,25.06966558333329,9,9,1
23,09,55,female,yes,right,countdown timer,6,24.51427104166669,12,12,1
24,09,55,female,yes,right,countdown timer,7,26.5796370416665,11,11,1
25,09,55,female,yes,right,countdown timer,8,25.896247374999803,12,12,1
26,09,55,female,yes,right,countdown timer,9,NA,NA,8,NA
