,sub_id,age,sex,normal / corrected sight,handedness,block,trial,reaction_time,E_amount_answer,E_counter,is_corr
0,08,20,female,yes,right,countdown timer,1,25.021470166626386,8,13,0
1,08,20,female,yes,right,countdown timer,2,18.00900258339243,11,12,0
2,08,20,female,yes,right,countdown timer,3,16.278030083398335,6,9,0
3,08,20,female,yes,right,countdown timer,4,15.294298625027295,7,10,0
4,08,20,female,yes,right,countdown timer,5,23.736304000020027,6,9,0
5,08,20,female,yes,right,countdown timer,6,21.678228583419695,12,13,0
6,08,20,female,yes,right,countdown timer,7,19.84935929166386,9,10,0
7,08,20,female,yes,right,countdown timer,8,19.0509245833382,8,9,0
8,08,20,female,yes,right,countdown timer,9,17.30179133330239,9,13,0
9,08,20,female,yes,right,countdown timer,10,16.458255083300173,6,10,0
10,08,20,female,yes,right,countdown timer,11,12.598699124995619,9,13,0
11,08,20,female,yes,right,countdown timer,12,NA,NA,11,NA
12,08,20,female,yes,right,no timer,1,13.843663958308753,6,8,0
13,08,20,female,yes,right,no timer,2,13.659391208318993,7,8,0
14,08,20,female,yes,right,no timer,3,13.947701375000179,8,10,0
15,08,20,female,yes,right,no timer,4,15.64321995829232,4,8,0
16,08,20,female,yes,right,no timer,5,15.730640250025317,10,11,0
17,08,20,female,yes,right,no timer,6,18.382468791736756,8,9,0
18,08,20,female,yes,right,no timer,7,16.554328583413735,10,13,0
19,08,20,female,yes,right,no timer,8,13.808135624974966,10,13,0
20,08,20,female,yes,right,no timer,9,15.882437250053044,8,9,0
21,08,20,female,yes,right,no timer,10,15.321509125002194,6,11,0
22,08,20,female,yes,right,no timer,11,16.521957791701425,7,11,0
23,08,20,female,yes,right,no timer,12,16.513499833352398,7,13,0
24,08,20,female,yes,right,no timer,13,15.971589958295226,5,11,0
25,08,20,female,yes,right,no timer,14,NA,NA,8,NA
26,08,20,female,yes,right,clock timer,1,15.871795583399944,11,13,0
27,08,20,female,yes,right,clock timer,2,15.303056250035297,8,9,0
28,08,20,female,yes,right,clock timer,3,18.340613666689023,9,9,1
29,08,20,female,yes,right,clock timer,4,19.19671429164009,10,13,0
30,08,20,female,yes,right,clock timer,5,16.65733933338197,8,12,0
31,08,20,female,yes,right,clock timer,6,14.559741583361756,6,9,0
32,08,20,female,yes,right,clock timer,7,20.17119316663593,9,11,0
33,08,20,female,yes,right,clock timer,8,19.99518729170086,8,9,0
34,08,20,female,yes,right,clock timer,9,16.73665141669335,9,11,0
35,08,20,female,yes,right,clock timer,10,21.930291541677434,6,8,0
36,08,20,female,yes,right,clock timer,11,17.853832208260428,10,12,0
37,08,20,female,yes,right,clock timer,12,NA,NA,13,NA
