,sub_id,age,sex,normal / corrected sight,handedness,block,trial,reaction_time,max_time,E_amount_answer,E_counter,is_corr,answer_in_time
0,21,23,male,yes,right,high time pressure,1,25.572815874999833,28.885671950839736,11,11,1,1
1,21,23,male,yes,right,high time pressure,2,26.055185833333326,28.885671950839736,9,9,1,1
2,21,23,male,yes,right,high time pressure,3,27.16014375000009,28.885671950839736,12,12,1,1
3,21,23,male,yes,right,high time pressure,4,23.820757416666538,28.885671950839736,10,11,0,1
4,21,23,male,yes,right,high time pressure,5,22.812888375000057,28.885671950839736,9,10,0,1
5,21,23,male,yes,right,high time pressure,6,21.18776895833321,28.885671950839736,NA,8,NA,1
6,21,23,male,yes,right,high time pressure,7,28.885671950839736,28.885671950839736,11,12,0,0
7,21,23,male,yes,right,high time pressure,8,23.60020774999998,28.885671950839736,12,13,0,1
8,21,23,male,yes,right,low time pressure,1,23.721892750000052,38.03898460471585,9,9,1,1
9,21,23,male,yes,right,low time pressure,2,23.445592583333564,38.03898460471585,13,13,1,1
10,21,23,male,yes,right,low time pressure,3,24.35018237500003,38.03898460471585,9,9,1,1
11,21,23,male,yes,right,low time pressure,4,22.702612166666768,38.03898460471585,11,12,0,1
12,21,23,male,yes,right,low time pressure,5,25.40800216666662,38.03898460471585,10,10,1,1
13,21,23,male,yes,right,low time pressure,6,26.701324999999997,38.03898460471585,13,13,1,1
14,21,23,male,yes,right,low time pressure,7,26.59488125000007,38.03898460471585,8,8,1,1
15,21,23,male,yes,right,low time pressure,8,20.832913416666315,38.03898460471585,9,9,1,1
16,21,23,male,yes,right,low time pressure,9,26.721139375000348,38.03898460471585,8,8,1,1
17,21,23,male,yes,right,medium time pressure,1,18.00867295833359,33.46232827777779,9,9,1,1
18,21,23,male,yes,right,medium time pressure,2,19.572184833333267,33.46232827777779,10,10,1,1
19,21,23,male,yes,right,medium time pressure,3,19.085029124999892,33.46232827777779,10,10,1,1
20,21,23,male,yes,right,medium time pressure,4,20.331609166666567,33.46232827777779,11,12,0,1
21,21,23,male,yes,right,medium time pressure,5,21.792574624999816,33.46232827777779,7,8,0,1
22,21,23,male,yes,right,medium time pressure,6,20.55349766666677,33.46232827777779,7,8,0,1
23,21,23,male,yes,right,medium time pressure,7,26.832894958332872,33.46232827777779,13,13,1,1
24,21,23,male,yes,right,medium time pressure,8,22.913828875000036,33.46232827777779,9,9,1,1
25,21,23,male,yes,right,medium time pressure,9,25.074022541666636,33.46232827777779,12,13,0,1
26,21,23,male,yes,right,medium time pressure,10,27.011039833333598,33.46232827777779,12,13,0,1
