,sub_id,age,sex,normal / corrected sight,handedness,block,trial,reaction_time,E_amount_answer,E_counter,is_corr
0,19,69,female,yes,right,clock timer,1,31.65657279168954,8,8,1
1,19,69,female,yes,right,clock timer,2,38.45978625002317,10,10,1
2,19,69,female,yes,right,clock timer,3,33.68776454159524,8,8,1
3,19,69,female,yes,right,clock timer,4,40.91285708337091,7,9,0
4,19,69,female,yes,right,clock timer,5,37.923820958298165,8,8,1
5,19,69,female,yes,right,clock timer,6,32.42491416668054,10,13,0
6,19,69,female,yes,right,countdown timer,1,35.11648541665636,12,12,1
7,19,69,female,yes,right,countdown timer,2,33.91927908331854,13,13,1
8,19,69,female,yes,right,countdown timer,3,32.45284429163439,9,10,0
9,19,69,female,yes,right,countdown timer,4,41.945822916633915,10,10,1
10,19,69,female,yes,right,countdown timer,5,34.381480999989435,10,10,1
11,19,69,female,yes,right,countdown timer,6,39.16539020842174,9,9,1
12,19,69,female,yes,right,no timer,1,33.907726374978665,7,8,0
13,19,69,female,yes,right,no timer,2,36.36771362501895,11,11,1
14,19,69,female,yes,right,no timer,3,37.62263708334649,10,10,1
15,19,69,female,yes,right,no timer,4,37.869531916687265,11,11,1
16,19,69,female,yes,right,no timer,5,35.26510487496853,8,8,1
17,19,69,female,yes,right,no timer,6,34.59012779162731,10,11,0
18,19,69,female,yes,right,no timer,7,NA,0,13,0
