,sub_id,age,sex,normal / corrected sight,handedness,block,trial,reaction_time,E_amount_answer,E_counter,is_corr
0,15,22,female,yes,right,no timer,1,37.4378613749999,10,12,0
1,15,22,female,yes,right,no timer,2,20.026634916666808,11,12,0
2,15,22,female,yes,right,no timer,3,20.776566166666612,11,11,1
3,15,22,female,yes,right,no timer,4,22.359858041666598,11,11,1
4,15,22,female,yes,right,no timer,5,23.344859583333346,13,13,1
5,15,22,female,yes,right,no timer,6,34.19074283333339,9,9,1
6,15,22,female,yes,right,no timer,7,25.309552583333243,11,11,1
7,15,22,female,yes,right,no timer,8,28.60006962500006,11,11,1
8,15,22,female,yes,right,no timer,9,NA,NA,10,NA
9,15,22,female,yes,right,clock timer,1,24.474615041666766,11,11,1
10,15,22,female,yes,right,clock timer,2,23.731615958333236,10,10,1
11,15,22,female,yes,right,clock timer,3,19.71369095833336,9,9,1
12,15,22,female,yes,right,clock timer,4,18.97956462500008,10,10,1
13,15,22,female,yes,right,clock timer,5,19.809845583333413,12,12,1
14,15,22,female,yes,right,clock timer,6,23.287902749999944,12,12,1
15,15,22,female,yes,right,clock timer,7,22.8808169583333,11,13,0
16,15,22,female,yes,right,clock timer,8,21.292877333333422,7,10,0
17,15,22,female,yes,right,clock timer,9,22.769299208333337,9,9,1
18,15,22,female,yes,right,clock timer,10,NA,12,13,0
19,15,22,female,yes,right,countdown timer,1,19.91770100000008,6,8,0
20,15,22,female,yes,right,countdown timer,2,18.991407125000023,7,8,0
21,15,22,female,yes,right,countdown timer,3,18.263492583333345,12,12,1
22,15,22,female,yes,right,countdown timer,4,23.069411499999887,11,12,0
23,15,22,female,yes,right,countdown timer,5,19.699537125000006,9,9,1
24,15,22,female,yes,right,countdown timer,6,18.067929958333252,9,10,0
25,15,22,female,yes,right,countdown timer,7,20.123183708333045,8,9,0
26,15,22,female,yes,right,countdown timer,8,23.511085416666674,7,10,0
27,15,22,female,yes,right,countdown timer,9,21.17043075000015,13,13,1
28,15,22,female,yes,right,countdown timer,10,19.04810395833306,9,9,1
29,15,22,female,yes,right,countdown timer,11,NA,NA,13,NA
