,sub_id,age,sex,normal / corrected sight,handedness,block,trial,reaction_time,E_amount_answer,E_counter,is_corr
0,21,23,male,yes,right,no timer,1,33.10438024999996,8,11,0
1,21,23,male,yes,right,no timer,2,39.33863879166677,10,10,1
2,21,23,male,yes,right,no timer,3,35.02589375000002,11,11,1
3,21,23,male,yes,right,no timer,4,37.70778420833335,12,12,1
4,21,23,male,yes,right,no timer,5,37.131746416666715,12,12,1
5,21,23,male,yes,right,no timer,6,NA,11,12,0
6,21,23,male,yes,right,clock timer,1,30.567026124999984,9,9,1
7,21,23,male,yes,right,clock timer,2,37.44238737499995,12,12,1
8,21,23,male,yes,right,clock timer,3,37.11485979166662,12,12,1
9,21,23,male,yes,right,clock timer,4,34.776135750000094,12,12,1
10,21,23,male,yes,right,clock timer,5,30.063812000000098,12,12,1
11,21,23,male,yes,right,clock timer,6,42.061987416666625,12,12,1
12,21,23,male,yes,right,clock timer,7,NA,NA,12,NA
13,21,23,male,yes,right,countdown timer,1,31.117233625000154,11,11,1
14,21,23,male,yes,right,countdown timer,2,30.662647749999905,8,8,1
15,21,23,male,yes,right,countdown timer,3,30.472223750000012,12,12,1
16,21,23,male,yes,right,countdown timer,4,25.938069750000068,11,11,1
17,21,23,male,yes,right,countdown timer,5,27.622620291666635,9,10,0
18,21,23,male,yes,right,countdown timer,6,26.70465800000011,12,12,1
19,21,23,male,yes,right,countdown timer,7,35.46980395833316,13,13,1
20,21,23,male,yes,right,countdown timer,8,NA,NA,10,NA
