,sub_id,age,sex,normal / corrected sight,handedness,block,trial,reaction_time,max_time,E_amount_answer,E_counter,is_corr,answer_in_time
0,14,46,female,yes,right,low time pressure,1,18.984634541673586,28.73233439493092,13,13,1,1
1,14,46,female,yes,right,low time pressure,2,22.58727266662754,28.73233439493092,10,11,0,1
2,14,46,female,yes,right,low time pressure,3,21.539272708294448,28.73233439493092,11,11,1,1
3,14,46,female,yes,right,low time pressure,4,20.440110374998767,28.73233439493092,8,8,1,1
4,14,46,female,yes,right,low time pressure,5,19.572900833270978,28.73233439493092,11,11,1,1
5,14,46,female,yes,right,low time pressure,6,21.19170550000854,28.73233439493092,11,12,0,1
6,14,46,female,yes,right,low time pressure,7,23.217533208313398,28.73233439493092,13,13,1,1
7,14,46,female,yes,right,low time pressure,8,20.38984212500509,28.73233439493092,13,13,1,1
8,14,46,female,yes,right,low time pressure,9,22.277554416679777,28.73233439493092,8,9,0,1
9,14,46,female,yes,right,low time pressure,10,21.280143833369948,28.73233439493092,10,11,0,1
10,14,46,female,yes,right,medium time pressure,1,20.335715666646138,24.907043623196408,9,11,0,1
11,14,46,female,yes,right,medium time pressure,2,21.095119541627355,24.907043623196408,10,11,0,1
12,14,46,female,yes,right,medium time pressure,3,20.282979583309498,24.907043623196408,10,10,1,1
13,14,46,female,yes,right,medium time pressure,4,22.96150212502107,24.907043623196408,11,12,0,1
14,14,46,female,yes,right,medium time pressure,5,20.095855916675646,24.907043623196408,11,11,1,1
15,14,46,female,yes,right,medium time pressure,6,20.276634666719474,24.907043623196408,8,8,1,1
16,14,46,female,yes,right,medium time pressure,7,20.359538749966305,24.907043623196408,11,11,1,1
17,14,46,female,yes,right,medium time pressure,8,21.224816749978345,24.907043623196408,12,12,1,1
18,14,46,female,yes,right,medium time pressure,9,20.154701500025112,24.907043623196408,10,11,0,1
19,14,46,female,yes,right,medium time pressure,10,20.898501291696448,24.907043623196408,8,10,0,1
20,14,46,female,yes,right,high time pressure,1,19.746712666703388,21.081752851461896,12,12,1,1
21,14,46,female,yes,right,high time pressure,2,17.414866333361715,21.081752851461896,12,12,1,1
22,14,46,female,yes,right,high time pressure,3,19.43338279169984,21.081752851461896,12,12,1,1
23,14,46,female,yes,right,high time pressure,4,19.45809920836473,21.081752851461896,13,13,1,1
24,14,46,female,yes,right,high time pressure,5,18.574031833326444,21.081752851461896,7,8,0,1
25,14,46,female,yes,right,high time pressure,6,18.844396333326586,21.081752851461896,11,12,0,1
26,14,46,female,yes,right,high time pressure,7,16.842173166689463,21.081752851461896,8,8,1,1
27,14,46,female,yes,right,high time pressure,8,17.80217845836887,21.081752851461896,10,11,0,1
28,14,46,female,yes,right,high time pressure,9,19.81743637501495,21.081752851461896,12,13,0,1
29,14,46,female,yes,right,high time pressure,10,18.125755791610572,21.081752851461896,10,11,0,1
30,14,46,female,yes,right,high time pressure,11,18.97598758334061,21.081752851461896,10,10,1,1
