,sub_id,age,sex,normal / corrected sight,handedness,block,trial,reaction_time,E_amount_answer,E_counter,is_corr
0,11,21,female,yes,left,countdown timer,1,18.845177041666716,8,9,0
1,11,21,female,yes,left,countdown timer,2,21.083304208333345,13,13,1
2,11,21,female,yes,left,countdown timer,3,20.261705541666686,8,9,0
3,11,21,female,yes,left,countdown timer,4,17.78349204166659,7,8,0
4,11,21,female,yes,left,countdown timer,5,19.767831416666695,8,8,1
5,11,21,female,yes,left,countdown timer,6,18.171528833333298,11,13,0
6,11,21,female,yes,left,countdown timer,7,21.017500958333244,10,10,1
7,11,21,female,yes,left,countdown timer,8,16.351891458333284,9,9,1
8,11,21,female,yes,left,countdown timer,9,17.857535249999955,9,12,0
9,11,21,female,yes,left,countdown timer,10,17.930683166666654,9,11,0
10,11,21,female,yes,left,countdown timer,11,NA,3,10,0
11,11,21,female,yes,left,no timer,1,16.198676875000046,12,13,0
12,11,21,female,yes,left,no timer,2,14.010345833333417,8,12,0
13,11,21,female,yes,left,no timer,3,15.294843124999943,8,11,0
14,11,21,female,yes,left,no timer,4,18.99109083333326,8,9,0
15,11,21,female,yes,left,no timer,5,18.619228291666786,10,12,0
16,11,21,female,yes,left,no timer,6,17.150492124999914,8,9,0
17,11,21,female,yes,left,no timer,7,16.252475291666542,6,9,0
18,11,21,female,yes,left,no timer,8,16.938960458333327,10,12,0
19,11,21,female,yes,left,no timer,9,17.64994324999998,11,11,1
20,11,21,female,yes,left,no timer,10,11.988082374999976,7,8,0
21,11,21,female,yes,left,no timer,11,14.922177041666714,8,13,0
22,11,21,female,yes,left,no timer,12,14.349663291666616,7,13,0
23,11,21,female,yes,left,no timer,13,NA,0,11,0
24,11,21,female,yes,left,clock timer,1,15.80043887499994,11,13,0
25,11,21,female,yes,left,clock timer,2,12.770288624999921,9,11,0
26,11,21,female,yes,left,clock timer,3,13.061252208333372,9,10,0
27,11,21,female,yes,left,clock timer,4,13.348777375000054,9,11,0
28,11,21,female,yes,left,clock timer,5,14.821960999999988,11,11,1
29,11,21,female,yes,left,clock timer,6,14.826414625000098,7,10,0
30,11,21,female,yes,left,clock timer,7,13.969357791666425,6,9,0
31,11,21,female,yes,left,clock timer,8,17.36524458333338,10,12,0
32,11,21,female,yes,left,clock timer,9,16.72906587500006,6,8,0
33,11,21,female,yes,left,clock timer,10,16.470899874999986,12,13,0
34,11,21,female,yes,left,clock timer,11,17.263089874999878,6,11,0
35,11,21,female,yes,left,clock timer,12,17.818109375000176,7,13,0
36,11,21,female,yes,left,clock timer,13,13.877148416666842,9,10,0
37,11,21,female,yes,left,clock timer,14,NA,3,9,0
